"date","location","administered","admin_per_100k","series_complete_pop_pct","additional_doses_vax_pct","second_booster","administered_bivalent"
2022-10-05,"MA","16308908","236618","81.8","54.2",NA,NA
2022-10-05,"MI","17195181","172178","61.4","56.8",NA,NA
2022-10-05,"NY","41982057","215807","79.1","47.6",NA,NA
2022-10-05,"PW","49686","230754","85.3","65.9",NA,NA
2022-10-05,"PR","7690782","240811","85.5","62.1",NA,NA
2022-10-05,"KY","6994880","156567","58.7","46.8",NA,NA
2022-10-05,"IA","5561980","176287","63.3","55.5",NA,NA
2022-10-05,"MD","13389901","221479","78","54.8",NA,NA
2022-10-05,"DE","1987899","204146","71.6","49.1",NA,NA
2022-10-05,"KS","4932409","169306","63.9","46.9",NA,NA
2022-10-05,"US","624198981","188007","68","48.9","28248302","11501466"
2022-10-05,"NM","4297167","204936","73.3","52.7",NA,NA
2022-10-05,"UT","5657654","176473","65.7","47.7",NA,NA
2022-10-05,"WY","795386","137430","52.2","45.6",NA,NA
2022-10-05,"NC","18123477","172801","64.5","29.6",NA,NA
2022-10-05,"DC","1752091","248260","81.1","45.5",NA,NA
2022-10-05,"VA2","7902204","0","0","41.1",NA,NA
2022-10-05,"MN","11442522","202895","70.8","60.8",NA,NA
2022-10-05,"ID","2648755","148218","55.5","46.4",NA,NA
2022-10-05,"NH","2618040","192544","69.5","49.8",NA,NA
2022-10-05,"PA","25110975","196149","71.2","45.2",NA,NA
2022-10-05,"ME","3153252","234580","81.8","58.9",NA,NA
2022-10-05,"WV","2920852","162981","59","48.2",NA,NA
2022-10-05,"SC","8088466","157097","58.8","43",NA,NA
2022-10-05,"NE","3467406","179249","65.1","53.6",NA,NA
2022-10-05,"IH2","2390124","114755","43","34.8",NA,NA
2022-10-05,"AS","114380","241349","89.5","57.8",NA,NA
2022-10-05,"LA","6618934","142380","54.6","41.9",NA,NA
2022-10-05,"OR","8500972","201553","71.1","56.7",NA,NA
2022-10-05,"RI","2427022","229102","85.7","56.5",NA,NA
2022-10-05,"MS","4106574","137983","53.2","40.1",NA,NA
2022-10-05,"OH","19359190","165617","59.6","54.9",NA,NA
2022-10-05,"FL","39909379","185817","68.5","42.7",NA,NA
2022-10-05,"VI","150986","142051","54.6","31.6",NA,NA
2022-10-05,"NV","5238059","170058","62.4","41.3",NA,NA
2022-10-05,"AL","6631238","135243","52.4","38.2",NA,NA
2022-10-05,"TN","10683631","156441","55.7","46.7",NA,NA
2022-10-05,"MH","91502","117701","43.5","43.4",NA,NA
2022-10-05,"MP","113472","218842","84.2","52",NA,NA
2022-10-05,"VA","17913518","209870","75.2","51.5",NA,NA
2022-10-05,"FM","177050","173036","66.2","48.6",NA,NA
2022-10-05,"VT","1564687","250756","83.5","63.9",NA,NA
2022-10-05,"GA","15965675","150372","56.3","41.5",NA,NA
2022-10-05,"GU","377830","224246","84.5","51.8",NA,NA
2022-10-05,"BP2","333659","0","0","37.5",NA,NA
2022-10-05,"WA","15915201","209001","74.5","56.1",NA,NA
2022-10-05,"OK","6322133","159772","59.2","39.9",NA,NA
2022-10-05,"TX","48759624","168161","62.3","37.5",NA,NA
2022-10-05,"AR","4547572","150691","55.9","42.5",NA,NA
2022-10-05,"DD2","8983413","0","0","26.1",NA,NA
2022-10-05,"IN","10450963","155238","57.1","49",NA,NA
2022-10-05,"WI","11228277","192845","67","58.8",NA,NA
2022-10-05,"IL","24643666","194476","70.2","55.2",NA,NA
2022-10-05,"CA","81759977","206923","74","56.2",NA,NA
2022-10-05,"MT","1716903","160642","58.2","50.2",NA,NA
2022-10-05,"ND","1189384","156074","57.2","46",NA,NA
2022-10-05,"CO","11808619","205056","72.1","55.7",NA,NA
2022-10-05,"MO","9669079","157543","57.8","45.2",NA,NA
2022-10-05,"AZ","13285173","182521","63.6","45.7",NA,NA
2022-10-05,"NJ","18506887","208360","77.7","50.3",NA,NA
2022-10-05,"SD","1547720","174951","64.4","44.7",NA,NA
2022-10-05,"AK","1235188","168846","64.3","47.5",NA,NA
2022-09-28,"MA","16151378","234333","81.5","54",NA,NA
2022-09-28,"BP2","333359","0","0","37.5",NA,NA
2022-09-28,"PR","7652055","239599","85.2","61.8",NA,NA
2022-09-28,"IN","10400546","154489","57","48.9",NA,NA
2022-09-28,"HI","3222138","227573","80.1","57.7",NA,NA
2022-09-28,"MH","90208","116037","43.1","42.9",NA,NA
2022-09-28,"IL","24430814","192796","70","55.1",NA,NA
2022-09-28,"TN","10625434","155589","55.6","46.6",NA,NA
2022-09-28,"SC","8046544","156283","58.6","42.9",NA,NA
2022-09-28,"MT","1694792","158573","58","50",NA,NA
2022-09-28,"NJ","18390826","207053","77.5","50.2",NA,NA
2022-09-28,"ND","1177483","154513","56.9","45.8",NA,NA
2022-09-28,"AR","4522071","149846","55.8","42.3",NA,NA
2022-09-28,"OR","8423350","199713","71","56.5",NA,NA
2022-09-28,"NH","2582617","189939","69","49.4",NA,NA
2022-09-28,"KY","6950344","155570","58.6","46.6",NA,NA
2022-09-28,"MI","17055654","170781","61.4","56.7",NA,NA
2022-09-28,"TX","48635364","167732","62.2","37.4",NA,NA
2022-09-28,"SD","1536133","173641","64.2","44.5",NA,NA
2022-09-28,"IH2","2379833","114261","43","34.6",NA,NA
2022-09-28,"CA","81176365","205446","73.8","56.1",NA,NA
2022-09-28,"WV","2901813","161918","58.9","48",NA,NA
2022-09-28,"FL","39803100","185323","68.4","42.7",NA,NA
2022-09-28,"CT","8196899","229909","81.2","53.9",NA,NA
2022-09-28,"AL","6612131","134854","52.3","38.1",NA,NA
2022-09-28,"GA","15908164","149831","56.3","41.2",NA,NA
2022-09-28,"DE","1970701","202380","71.4","48.9",NA,NA
2022-09-28,"AS","114313","241207","89.4","57.8",NA,NA
2022-09-28,"VA2","7846098","0","0","40.9",NA,NA
2022-09-28,"NE","3451226","178413","65","53.5",NA,NA
2022-09-28,"ME","3123320","232353","81.6","58.7",NA,NA
2022-09-28,"FM","177050","173036","66.2","48.6",NA,NA
2022-09-28,"MP","113203","218324","84.2","51.9",NA,NA
2022-09-28,"OK","6283816","158804","59","39.8",NA,NA
2022-09-28,"US","619765972","186672","67.9","48.8","26631009","7570309"
2022-09-28,"RI","2406345","227151","85.5","56.4",NA,NA
2022-09-28,"VA","17767824","208163","75","51.4",NA,NA
2022-09-28,"NV","5193128","168600","62.2","41.1",NA,NA
2022-09-28,"PW","49563","230183","85.3","65.8",NA,NA
2022-09-28,"MD","13268363","219468","77.8","54.7",NA,NA
2022-09-28,"OH","19205111","164299","59.5","54.8",NA,NA
2022-09-28,"DD2","8970394","0","0","24.9",NA,NA
2022-09-28,"VI","150804","141880","54.4","31.6",NA,NA
2022-09-28,"AK","1224705","167413","63.6","47.4",NA,NA
2022-09-28,"VT","1548905","248226","83.3","63.7",NA,NA
2022-09-28,"PA","24627159","192370","70.8","44.6",NA,NA
2022-09-28,"WA","15759837","206961","74.1","56",NA,NA
2022-09-28,"NY","41735576","214540","78.9","47.5",NA,NA
2022-09-28,"CO","11696851","203115","72","55.5",NA,NA
2022-09-28,"WY","789295","136377","52.1","45.5",NA,NA
2022-09-28,"MS","4088689","137382","53.1","39.9",NA,NA
2022-09-28,"MO","9599422","156408","57.6","45.1",NA,NA
